ts,open,high,low,close,vol,bin
1770595200000,1.551,1.556,1.551,1.555,1504.4,"(1.552, 1.561]"
1770595260000,1.555,1.558,1.553,1.556,1042.2,"(1.552, 1.561]"
1770595320000,1.557,1.557,1.556,1.556,216.6,"(1.552, 1.561]"
1770595380000,1.557,1.559,1.557,1.558,231.4,"(1.552, 1.561]"
1770595440000,1.558,1.562,1.558,1.561,727.2,"(1.552, 1.561]"
1770595500000,1.561,1.561,1.559,1.561,560.0,"(1.561, 1.569]"
1770595560000,1.561,1.561,1.559,1.559,101.1,"(1.552, 1.561]"
1770595620000,1.559,1.559,1.556,1.556,259.5,"(1.552, 1.561]"
1770595680000,1.555,1.558,1.555,1.558,80.5,"(1.552, 1.561]"
1770595740000,1.558,1.558,1.557,1.557,106.5,"(1.552, 1.561]"
1770595800000,1.558,1.558,1.557,1.557,108.9,"(1.552, 1.561]"
1770595860000,1.557,1.557,1.555,1.555,72.2,"(1.552, 1.561]"
1770595920000,1.555,1.558,1.555,1.558,200.0,"(1.552, 1.561]"
1770595980000,1.558,1.558,1.558,1.558,40.7,"(1.552, 1.561]"
1770596040000,1.558,1.558,1.557,1.557,76.5,"(1.552, 1.561]"
1770596100000,1.557,1.557,1.556,1.556,250.2,"(1.552, 1.561]"
1770596160000,1.555,1.555,1.55,1.551,148.6,"(1.552, 1.561]"
1770596220000,1.549,1.551,1.549,1.55,326.5,"(1.544, 1.552]"
1770596280000,1.552,1.554,1.551,1.553,212.9,"(1.552, 1.561]"
1770596340000,1.553,1.553,1.552,1.552,88.5,"(1.552, 1.561]"
1770596400000,1.553,1.554,1.552,1.553,139.1,"(1.552, 1.561]"
1770596460000,1.553,1.555,1.552,1.552,252.8,"(1.552, 1.561]"
1770596520000,1.552,1.554,1.55,1.551,540.4,"(1.544, 1.552]"
1770596580000,1.551,1.554,1.55,1.551,1078.7,"(1.544, 1.552]"
1770596640000,1.552,1.557,1.552,1.556,348.8,"(1.552, 1.561]"
1770596700000,1.557,1.559,1.557,1.559,718.6,"(1.552, 1.561]"
1770596760000,1.559,1.559,1.554,1.554,588.4,"(1.552, 1.561]"
1770596820000,1.554,1.554,1.554,1.554,74.3,"(1.552, 1.561]"
1770596880000,1.554,1.555,1.554,1.554,76.7,"(1.552, 1.561]"
1770596940000,1.553,1.553,1.55,1.55,437.0,"(1.544, 1.552]"
1770597000000,1.55,1.55,1.55,1.55,7.8,"(1.544, 1.552]"
1770597060000,1.55,1.55,1.547,1.548,141.1,"(1.544, 1.552]"
1770597120000,1.549,1.55,1.549,1.549,103.4,"(1.544, 1.552]"
1770597180000,1.55,1.551,1.55,1.55,306.8,"(1.544, 1.552]"
1770597240000,1.552,1.552,1.55,1.551,206.5,"(1.544, 1.552]"
1770597300000,1.551,1.552,1.55,1.55,420.9,"(1.544, 1.552]"
1770597360000,1.549,1.55,1.548,1.549,304.1,"(1.544, 1.552]"
1770597420000,1.549,1.549,1.547,1.548,190.6,"(1.544, 1.552]"
1770597480000,1.548,1.549,1.547,1.547,130.9,"(1.544, 1.552]"
1770597540000,1.547,1.551,1.547,1.551,174.4,"(1.544, 1.552]"
1770597600000,1.551,1.551,1.547,1.547,517.6,"(1.544, 1.552]"
1770597660000,1.548,1.553,1.545,1.55,1845.5,"(1.544, 1.552]"
1770597720000,1.552,1.552,1.55,1.55,369.9,"(1.544, 1.552]"
1770597780000,1.551,1.553,1.55,1.55,408.2,"(1.544, 1.552]"
1770597840000,1.551,1.551,1.549,1.549,11.6,"(1.544, 1.552]"
1770597900000,1.551,1.551,1.546,1.55,623.6,"(1.544, 1.552]"
1770597960000,1.551,1.554,1.549,1.554,682.0,"(1.552, 1.561]"
1770598020000,1.554,1.554,1.553,1.553,37.2,"(1.552, 1.561]"
1770598080000,1.554,1.556,1.553,1.556,116.2,"(1.552, 1.561]"
1770598140000,1.555,1.556,1.554,1.556,149.6,"(1.552, 1.561]"
1770598200000,1.557,1.558,1.556,1.557,357.5,"(1.552, 1.561]"
1770598260000,1.556,1.558,1.555,1.557,49.7,"(1.552, 1.561]"
1770598320000,1.558,1.561,1.558,1.561,84.3,"(1.552, 1.561]"
1770598380000,1.56,1.56,1.557,1.558,219.1,"(1.552, 1.561]"
1770598440000,1.557,1.557,1.554,1.556,330.4,"(1.552, 1.561]"
1770598500000,1.556,1.557,1.555,1.556,109.2,"(1.552, 1.561]"
1770598560000,1.556,1.556,1.555,1.556,56.4,"(1.552, 1.561]"
1770598620000,1.557,1.557,1.556,1.556,92.0,"(1.552, 1.561]"
1770598680000,1.555,1.556,1.555,1.556,38.3,"(1.552, 1.561]"
1770598740000,1.556,1.556,1.556,1.556,21.8,"(1.552, 1.561]"
1770598800000,1.556,1.556,1.553,1.556,533.3,"(1.552, 1.561]"
1770598860000,1.556,1.557,1.556,1.557,88.8,"(1.552, 1.561]"
1770598920000,1.558,1.561,1.558,1.561,209.3,"(1.552, 1.561]"
1770598980000,1.561,1.561,1.556,1.558,322.6,"(1.552, 1.561]"
1770599040000,1.559,1.561,1.558,1.558,154.3,"(1.552, 1.561]"
1770599100000,1.559,1.559,1.555,1.555,180.9,"(1.552, 1.561]"
1770599160000,1.555,1.556,1.554,1.555,17.3,"(1.552, 1.561]"
1770599220000,1.556,1.557,1.556,1.556,115.1,"(1.552, 1.561]"
1770599280000,1.556,1.559,1.556,1.559,62.9,"(1.552, 1.561]"
1770599340000,1.557,1.56,1.557,1.56,162.7,"(1.552, 1.561]"
1770599400000,1.558,1.558,1.557,1.557,174.6,"(1.552, 1.561]"
1770599460000,1.558,1.558,1.557,1.557,71.5,"(1.552, 1.561]"
1770599520000,1.557,1.557,1.557,1.557,29.9,"(1.552, 1.561]"
1770599580000,1.557,1.558,1.556,1.556,96.0,"(1.552, 1.561]"
1770599640000,1.555,1.556,1.555,1.556,33.0,"(1.552, 1.561]"
1770599700000,1.556,1.557,1.555,1.555,54.3,"(1.552, 1.561]"
1770599760000,1.555,1.558,1.554,1.558,142.8,"(1.552, 1.561]"
1770599820000,1.56,1.562,1.559,1.562,255.2,"(1.561, 1.569]"
1770599880000,1.562,1.563,1.558,1.558,817.7,"(1.552, 1.561]"
1770599940000,1.558,1.561,1.557,1.561,109.3,"(1.552, 1.561]"
1770600000000,1.56,1.562,1.56,1.562,50.4,"(1.561, 1.569]"
1770600060000,1.561,1.564,1.56,1.564,62.7,"(1.561, 1.569]"
1770600120000,1.568,1.572,1.568,1.57,392.0,"(1.561, 1.569]"
1770600180000,1.568,1.569,1.567,1.569,182.8,"(1.561, 1.569]"
1770600240000,1.567,1.572,1.565,1.572,303.6,"(1.569, 1.578]"
1770600300000,1.571,1.572,1.569,1.569,250.4,"(1.569, 1.578]"
1770600360000,1.571,1.571,1.57,1.57,103.9,"(1.569, 1.578]"
1770600420000,1.569,1.569,1.567,1.569,152.2,"(1.561, 1.569]"
1770600480000,1.569,1.569,1.566,1.566,43.1,"(1.561, 1.569]"
1770600540000,1.565,1.565,1.564,1.565,51.7,"(1.561, 1.569]"
1770600600000,1.565,1.565,1.564,1.565,112.4,"(1.561, 1.569]"
1770600660000,1.565,1.565,1.564,1.565,113.0,"(1.561, 1.569]"
1770600720000,1.565,1.565,1.562,1.563,82.7,"(1.561, 1.569]"
1770600780000,1.563,1.563,1.561,1.562,271.3,"(1.561, 1.569]"
1770600840000,1.563,1.563,1.561,1.562,321.4,"(1.561, 1.569]"
1770600900000,1.562,1.562,1.558,1.558,49.6,"(1.552, 1.561]"
1770600960000,1.559,1.559,1.556,1.556,854.4,"(1.552, 1.561]"
1770601020000,1.558,1.558,1.554,1.556,335.5,"(1.552, 1.561]"
1770601080000,1.557,1.558,1.555,1.558,81.3,"(1.552, 1.561]"
1770601140000,1.558,1.558,1.556,1.557,151.0,"(1.552, 1.561]"
1770601200000,1.557,1.557,1.554,1.555,512.3,"(1.552, 1.561]"
1770601260000,1.556,1.556,1.554,1.554,120.8,"(1.552, 1.561]"
1770601320000,1.554,1.554,1.548,1.55,2007.3,"(1.544, 1.552]"
1770601380000,1.55,1.552,1.55,1.552,372.9,"(1.544, 1.552]"
1770601440000,1.552,1.553,1.552,1.552,318.8,"(1.544, 1.552]"
1770601500000,1.552,1.553,1.552,1.553,52.4,"(1.552, 1.561]"
1770601560000,1.553,1.553,1.552,1.552,110.1,"(1.552, 1.561]"
1770601620000,1.552,1.557,1.552,1.557,398.3,"(1.552, 1.561]"
1770601680000,1.558,1.558,1.554,1.554,186.6,"(1.552, 1.561]"
1770601740000,1.555,1.557,1.555,1.556,101.7,"(1.552, 1.561]"
1770601800000,1.556,1.567,1.556,1.567,2484.2,"(1.561, 1.569]"
1770601860000,1.566,1.568,1.564,1.566,1034.3,"(1.561, 1.569]"
1770601920000,1.567,1.567,1.565,1.566,284.9,"(1.561, 1.569]"
1770601980000,1.565,1.566,1.563,1.563,845.9,"(1.561, 1.569]"
1770602040000,1.563,1.564,1.562,1.563,61.0,"(1.561, 1.569]"
1770602100000,1.563,1.564,1.563,1.564,77.4,"(1.561, 1.569]"
1770602160000,1.564,1.564,1.563,1.563,64.4,"(1.561, 1.569]"
1770602220000,1.562,1.563,1.56,1.562,193.4,"(1.561, 1.569]"
1770602280000,1.563,1.563,1.561,1.561,85.0,"(1.561, 1.569]"
1770602340000,1.563,1.563,1.561,1.561,56.4,"(1.561, 1.569]"
1770602400000,1.562,1.562,1.558,1.558,195.9,"(1.552, 1.561]"
1770602460000,1.559,1.559,1.558,1.558,307.0,"(1.552, 1.561]"
1770602520000,1.558,1.559,1.557,1.557,59.1,"(1.552, 1.561]"
