bin,vol
"(1.442, 1.45]",13857.5
"(1.45, 1.459]",37634.5
"(1.459, 1.467]",44583.6
"(1.467, 1.476]",58644.2
"(1.476, 1.484]",82830.5
"(1.484, 1.493]",92709.3
"(1.493, 1.501]",53327.1
"(1.501, 1.51]",103850.1
"(1.51, 1.518]",182442.5
"(1.518, 1.527]",180694.9
"(1.527, 1.535]",210287.8
"(1.535, 1.544]",186089.3
"(1.544, 1.552]",138352.8
"(1.552, 1.561]",189014.9
"(1.561, 1.569]",129153.4
"(1.569, 1.578]",159040.7
"(1.578, 1.586]",92834.3
"(1.586, 1.595]",31505.9
"(1.595, 1.603]",18928.5
"(1.603, 1.612]",50681.4
"(1.612, 1.62]",19020.4
"(1.62, 1.629]",1494.0
"(1.629, 1.637]",8889.6
"(1.637, 1.646]",10316.7
"(1.646, 1.654]",14246.800000000001
"(1.654, 1.662]",14373.3
"(1.662, 1.671]",56349.299999999996
"(1.671, 1.679]",58714.1
"(1.679, 1.688]",103466.2
"(1.688, 1.696]",127640.2
"(1.696, 1.705]",135797.4
"(1.705, 1.713]",128833.2
"(1.713, 1.722]",155537.0
"(1.722, 1.73]",122574.2
"(1.73, 1.739]",135778.7
"(1.739, 1.747]",150660.1
"(1.747, 1.756]",157987.5
"(1.756, 1.764]",34057.8
"(1.764, 1.773]",45555.9
"(1.773, 1.781]",40386.3
"(1.781, 1.79]",31206.5
"(1.79, 1.798]",43485.9
"(1.798, 1.807]",37444.0
"(1.807, 1.815]",32628.2
"(1.815, 1.824]",106000.9
"(1.824, 1.832]",48180.3
"(1.832, 1.841]",57238.7
"(1.841, 1.849]",23601.8
