ts,open,high,low,close,vol,bin
1771545600000,0.01527,0.01528,0.01525,0.01526,76662.0,"(0.0152, 0.0154]"
1771545660000,0.01525,0.01526,0.01525,0.01526,5067.0,"(0.0152, 0.0154]"
1771545720000,0.01526,0.01528,0.01526,0.01528,44000.0,"(0.0152, 0.0154]"
1771545780000,0.01529,0.01529,0.01528,0.01528,101297.0,"(0.0152, 0.0154]"
1771545840000,0.01527,0.01527,0.01525,0.01525,101607.0,"(0.0152, 0.0154]"
1771545900000,0.01525,0.01525,0.01521,0.01525,790335.0,"(0.0152, 0.0154]"
1771545960000,0.01524,0.01525,0.01524,0.01525,25433.0,"(0.0152, 0.0154]"
1771546020000,0.01525,0.01525,0.01523,0.01523,42663.0,"(0.0152, 0.0154]"
1771546080000,0.01524,0.01524,0.01523,0.01524,4932.0,"(0.0152, 0.0154]"
1771546140000,0.01524,0.01524,0.01524,0.01524,1469.0,"(0.0152, 0.0154]"
1771546200000,0.01525,0.01526,0.01525,0.01526,3871.0,"(0.0152, 0.0154]"
1771546260000,0.01526,0.01526,0.01524,0.01524,106417.0,"(0.0152, 0.0154]"
1771546320000,0.01524,0.01525,0.01524,0.01525,24701.0,"(0.0152, 0.0154]"
1771546380000,0.01526,0.01527,0.01526,0.01526,22469.0,"(0.0152, 0.0154]"
1771546440000,0.01527,0.01528,0.01527,0.01528,699602.0,"(0.0152, 0.0154]"
1771546500000,0.01529,0.01529,0.01527,0.01527,53752.0,"(0.0152, 0.0154]"
1771546560000,0.01526,0.01526,0.01526,0.01526,37671.0,"(0.0152, 0.0154]"
1771546620000,0.01526,0.01528,0.01522,0.01523,159020.0,"(0.0152, 0.0154]"
1771546680000,0.01523,0.01525,0.01523,0.01524,224730.0,"(0.0152, 0.0154]"
1771546740000,0.01524,0.01524,0.01524,0.01524,18483.0,"(0.0152, 0.0154]"
1771546800000,0.01523,0.01525,0.01523,0.01525,12236.0,"(0.0152, 0.0154]"
1771546860000,0.01525,0.01526,0.01524,0.01524,35922.0,"(0.0152, 0.0154]"
1771546920000,0.01524,0.01524,0.01524,0.01524,31951.0,"(0.0152, 0.0154]"
1771546980000,0.01524,0.01525,0.01524,0.01525,3817.0,"(0.0152, 0.0154]"
1771547040000,0.01525,0.01525,0.01525,0.01525,0.0,"(0.0152, 0.0154]"
1771547100000,0.01526,0.01526,0.01526,0.01526,13203.0,"(0.0152, 0.0154]"
1771547160000,0.01526,0.01529,0.01525,0.01529,224043.0,"(0.0152, 0.0154]"
1771547220000,0.0153,0.01531,0.01529,0.01529,54334.0,"(0.0152, 0.0154]"
1771547280000,0.01529,0.01529,0.01529,0.01529,429.0,"(0.0152, 0.0154]"
1771547340000,0.0153,0.01531,0.01529,0.01529,11911.0,"(0.0152, 0.0154]"
1771547400000,0.0153,0.0153,0.0153,0.0153,19465.0,"(0.0152, 0.0154]"
1771547460000,0.01531,0.01531,0.01529,0.01529,19099.0,"(0.0152, 0.0154]"
1771547520000,0.01529,0.01529,0.01529,0.01529,4407.0,"(0.0152, 0.0154]"
1771547580000,0.01529,0.0153,0.01529,0.0153,6226.0,"(0.0152, 0.0154]"
1771547640000,0.0153,0.0153,0.01527,0.01527,72240.0,"(0.0152, 0.0154]"
1771547700000,0.01528,0.01528,0.01528,0.01528,10003.0,"(0.0152, 0.0154]"
1771547760000,0.01528,0.01528,0.01528,0.01528,5880.0,"(0.0152, 0.0154]"
1771547820000,0.01529,0.01529,0.01529,0.01529,10088.0,"(0.0152, 0.0154]"
