bin,vol
"(0.014, 0.0143]",53257532.0
"(0.0143, 0.0145]",100449660.0
"(0.0145, 0.0147]",144708911.0
"(0.0147, 0.015]",117637484.0
"(0.015, 0.0152]",210468118.0
"(0.0152, 0.0154]",370106555.0
"(0.0154, 0.0157]",355083212.0
"(0.0157, 0.0159]",214842271.0
"(0.0159, 0.0161]",92516543.0
"(0.0161, 0.0164]",74785002.0
"(0.0164, 0.0166]",27116941.0
"(0.0168, 0.0171]",14722003.0
"(0.0173, 0.0175]",25754409.0
"(0.0178, 0.018]",36627554.0
"(0.018, 0.0182]",183755576.0
"(0.0182, 0.0185]",166736050.0
"(0.0185, 0.0187]",468898734.0
"(0.0187, 0.0189]",422725652.0
"(0.0189, 0.0192]",235347586.0
"(0.0192, 0.0194]",33491144.0
"(0.0194, 0.0196]",44178301.0
"(0.0196, 0.0199]",237607117.0
"(0.0199, 0.0201]",341513817.0
"(0.0201, 0.0203]",538997398.0
"(0.0203, 0.0206]",442923704.0
"(0.0206, 0.0208]",437525916.0
"(0.0208, 0.021]",202587645.0
"(0.021, 0.0212]",60519340.0
"(0.0212, 0.0215]",81101431.0
"(0.0215, 0.0217]",98862324.0
"(0.0217, 0.0219]",478498304.0
"(0.0219, 0.0222]",1048792213.0
"(0.0222, 0.0224]",372950066.0
"(0.0224, 0.0226]",1679531802.0
"(0.0226, 0.0229]",2029975598.0
"(0.0229, 0.0231]",1584836097.0
"(0.0231, 0.0233]",543792151.0
"(0.0233, 0.0236]",587972629.0
"(0.0236, 0.0238]",638413926.0
"(0.0238, 0.024]",825017469.0
"(0.024, 0.0243]",748097932.0
"(0.0243, 0.0245]",410153205.0
"(0.0245, 0.0247]",324210187.0
"(0.0247, 0.025]",374048397.0
"(0.025, 0.0252]",353701251.0
"(0.0252, 0.0254]",53281408.0
