ts,open,high,low,close,vol,bin
1768176000000,0.106,0.106,0.1058,0.1058,7180.0,"(0.106, 0.107]"
1768176060000,0.1057,0.106,0.1057,0.1058,7242.0,"(0.106, 0.107]"
1768176120000,0.1059,0.1061,0.1058,0.1059,5779.0,"(0.106, 0.107]"
1768176180000,0.106,0.1061,0.1059,0.1061,1493.0,"(0.106, 0.107]"
1768176240000,0.1062,0.1062,0.1059,0.1059,2753.0,"(0.106, 0.107]"
1768176300000,0.1059,0.1059,0.1056,0.1056,3905.0,"(0.106, 0.107]"
1768176360000,0.1057,0.1057,0.1055,0.1057,3240.0,"(0.106, 0.107]"
1768176420000,0.1057,0.1057,0.1055,0.1056,2669.0,"(0.106, 0.107]"
1768176480000,0.1057,0.1057,0.1054,0.1054,713.0,"(0.106, 0.107]"
1768176540000,0.1056,0.1056,0.1055,0.1055,690.0,"(0.106, 0.107]"
1768176600000,0.1057,0.1057,0.1055,0.1055,519.0,"(0.106, 0.107]"
1768176660000,0.1057,0.1057,0.1055,0.1055,653.0,"(0.106, 0.107]"
1768176720000,0.1055,0.1056,0.1055,0.1055,807.0,"(0.104, 0.106]"
1768176780000,0.1055,0.1055,0.1055,0.1055,156.0,"(0.104, 0.106]"
1768176840000,0.1056,0.1056,0.1055,0.1056,1080.0,"(0.106, 0.107]"
1768176900000,0.1056,0.1056,0.1054,0.1054,2247.0,"(0.104, 0.106]"
1768176960000,0.1055,0.1058,0.1055,0.1058,8103.0,"(0.106, 0.107]"
1768177020000,0.1057,0.1059,0.1057,0.1059,3695.0,"(0.106, 0.107]"
1768177080000,0.106,0.1061,0.1059,0.1059,942.0,"(0.106, 0.107]"
1768177140000,0.1061,0.1062,0.1059,0.106,1315.0,"(0.106, 0.107]"
1768177200000,0.106,0.1061,0.106,0.1061,357.0,"(0.106, 0.107]"
1768177260000,0.1062,0.1062,0.106,0.1062,2675.0,"(0.106, 0.107]"
1768177320000,0.1061,0.1061,0.1057,0.1057,11123.0,"(0.106, 0.107]"
1768177380000,0.1059,0.1061,0.1059,0.1061,823.0,"(0.106, 0.107]"
1768177440000,0.1061,0.1061,0.1058,0.1058,483.0,"(0.106, 0.107]"
1768177500000,0.106,0.106,0.1058,0.1058,1469.0,"(0.106, 0.107]"
1768177560000,0.106,0.106,0.1058,0.106,759.0,"(0.106, 0.107]"
1768177620000,0.106,0.106,0.106,0.106,374.0,"(0.106, 0.107]"
1768177680000,0.1061,0.1061,0.106,0.106,385.0,"(0.106, 0.107]"
1768177740000,0.1059,0.1061,0.1059,0.1059,1267.0,"(0.106, 0.107]"
1768177800000,0.1059,0.1061,0.1059,0.106,7066.0,"(0.106, 0.107]"
1768177860000,0.1061,0.1062,0.1059,0.1062,10096.0,"(0.106, 0.107]"
1768177920000,0.1061,0.1061,0.1058,0.1058,551.0,"(0.106, 0.107]"
1768177980000,0.1058,0.1058,0.1055,0.1055,542.0,"(0.106, 0.107]"
1768178040000,0.1055,0.1056,0.1055,0.1055,6378.0,"(0.104, 0.106]"
1768178100000,0.1056,0.1056,0.1053,0.1053,13620.0,"(0.104, 0.106]"
1768178160000,0.1053,0.1055,0.1052,0.1052,4517.0,"(0.104, 0.106]"
1768178220000,0.1054,0.1054,0.1052,0.1052,5586.0,"(0.104, 0.106]"
1768178280000,0.1052,0.1054,0.1046,0.1048,14614.0,"(0.104, 0.106]"
1768178340000,0.105,0.105,0.1048,0.1048,4142.0,"(0.104, 0.106]"
1768178400000,0.105,0.1052,0.1049,0.1049,9136.0,"(0.104, 0.106]"
1768178460000,0.1049,0.105,0.1048,0.1048,5364.0,"(0.104, 0.106]"
1768178520000,0.1048,0.1049,0.1047,0.1047,1202.0,"(0.104, 0.106]"
1768178580000,0.1047,0.1048,0.1046,0.1048,2664.0,"(0.104, 0.106]"
1768178640000,0.1046,0.1048,0.1045,0.1045,1189.0,"(0.104, 0.106]"
1768178700000,0.1047,0.1047,0.1045,0.1047,2101.0,"(0.104, 0.106]"
1768178760000,0.1045,0.1048,0.1045,0.1047,12975.0,"(0.104, 0.106]"
1768178820000,0.1046,0.1048,0.1046,0.1047,12507.0,"(0.104, 0.106]"
1768178880000,0.1047,0.1048,0.1046,0.1048,2660.0,"(0.104, 0.106]"
1768178940000,0.1047,0.1048,0.1046,0.1048,1482.0,"(0.104, 0.106]"
1768179000000,0.1048,0.1048,0.1044,0.1044,23006.0,"(0.104, 0.106]"
1768179060000,0.1044,0.1044,0.1041,0.1041,1473.0,"(0.104, 0.106]"
1768179120000,0.1041,0.1043,0.1039,0.1041,29195.0,"(0.104, 0.106]"
1768179180000,0.1043,0.1043,0.1043,0.1043,529.0,"(0.104, 0.106]"
1768179240000,0.1043,0.1046,0.1043,0.1046,4841.0,"(0.104, 0.106]"
1768179300000,0.1047,0.1047,0.1046,0.1047,3417.0,"(0.104, 0.106]"
1768179360000,0.1048,0.1051,0.1047,0.1051,31568.0,"(0.104, 0.106]"
1768179420000,0.1049,0.1054,0.1049,0.1054,23936.0,"(0.104, 0.106]"
1768179480000,0.1054,0.1055,0.1053,0.1054,13618.0,"(0.104, 0.106]"
1768179540000,0.1056,0.1056,0.1054,0.1056,7217.0,"(0.106, 0.107]"
1768179600000,0.1057,0.106,0.1056,0.1059,18109.0,"(0.106, 0.107]"
1768179660000,0.1056,0.1058,0.1055,0.1056,5013.0,"(0.106, 0.107]"
1768179720000,0.1058,0.106,0.1058,0.1058,19171.0,"(0.106, 0.107]"
1768179780000,0.1058,0.1063,0.1058,0.1063,13330.0,"(0.106, 0.107]"
1768179840000,0.1064,0.1066,0.1063,0.1063,21258.0,"(0.106, 0.107]"
1768179900000,0.1062,0.1063,0.106,0.1061,6610.0,"(0.106, 0.107]"
1768179960000,0.1063,0.1063,0.106,0.106,9232.0,"(0.106, 0.107]"
1768180020000,0.1062,0.1062,0.1058,0.1058,9001.0,"(0.106, 0.107]"
1768180080000,0.106,0.1061,0.1058,0.1059,1255.0,"(0.106, 0.107]"
1768180140000,0.106,0.106,0.1058,0.1058,2065.0,"(0.106, 0.107]"
1768180200000,0.1059,0.1059,0.1056,0.1058,28131.0,"(0.106, 0.107]"
1768180260000,0.1058,0.1062,0.1058,0.1062,23834.0,"(0.106, 0.107]"
1768180320000,0.106,0.1061,0.106,0.106,1534.0,"(0.106, 0.107]"
1768180380000,0.1059,0.106,0.1059,0.1059,363.0,"(0.106, 0.107]"
1768180440000,0.1059,0.1059,0.1059,0.1059,1755.0,"(0.106, 0.107]"
1768180500000,0.106,0.106,0.1057,0.1057,3099.0,"(0.106, 0.107]"
1768180560000,0.1057,0.1059,0.1057,0.1059,3601.0,"(0.106, 0.107]"
1768180620000,0.1059,0.1061,0.1058,0.1061,3411.0,"(0.106, 0.107]"
1768180680000,0.1061,0.1062,0.106,0.1061,3183.0,"(0.106, 0.107]"
1768180740000,0.106,0.1062,0.106,0.1062,1676.0,"(0.106, 0.107]"
1768180800000,0.1061,0.1062,0.1061,0.1062,1029.0,"(0.106, 0.107]"
1768180860000,0.1063,0.1063,0.1062,0.1062,444.0,"(0.106, 0.107]"
1768180920000,0.1062,0.1064,0.1062,0.1064,1867.0,"(0.106, 0.107]"
1768180980000,0.1065,0.1067,0.1065,0.1066,916.0,"(0.106, 0.107]"
