bin,vol
"(0.104, 0.106]",234930.0
"(0.106, 0.107]",2041798.0
"(0.107, 0.109]",5312832.0
"(0.109, 0.11]",2702303.0
"(0.11, 0.112]",1984232.0
"(0.112, 0.114]",2097874.0
"(0.114, 0.115]",3356592.0
"(0.115, 0.117]",5569586.0
"(0.117, 0.119]",3762390.0
"(0.119, 0.12]",4028094.0
"(0.12, 0.122]",13439914.0
"(0.122, 0.124]",17277814.0
"(0.124, 0.125]",17154911.0
"(0.125, 0.127]",15041285.0
"(0.127, 0.128]",17210770.0
"(0.128, 0.13]",20342119.0
"(0.13, 0.132]",32833947.0
"(0.132, 0.133]",33935577.0
"(0.133, 0.135]",30513492.0
"(0.135, 0.137]",25341844.0
"(0.137, 0.138]",15641467.0
"(0.138, 0.14]",9252835.0
"(0.14, 0.142]",10500157.0
"(0.142, 0.143]",9903686.0
"(0.143, 0.145]",10345447.0
"(0.145, 0.147]",6274302.0
"(0.147, 0.148]",7470290.0
"(0.148, 0.15]",7605532.0
"(0.15, 0.151]",7140396.0
"(0.151, 0.153]",4923174.0
"(0.153, 0.155]",5678333.0
"(0.155, 0.156]",12475273.0
"(0.156, 0.158]",18505245.0
"(0.158, 0.16]",18692682.0
"(0.16, 0.161]",23208024.0
"(0.161, 0.163]",16755508.0
"(0.163, 0.165]",20740246.0
"(0.165, 0.166]",12790476.0
"(0.166, 0.168]",16929034.0
"(0.168, 0.169]",7909699.0
"(0.169, 0.171]",3921792.0
"(0.171, 0.173]",5398805.0
"(0.173, 0.174]",10072207.0
"(0.174, 0.176]",20112073.0
"(0.176, 0.178]",30131028.0
"(0.178, 0.179]",31511749.0
"(0.179, 0.181]",27730330.0
"(0.181, 0.183]",12029412.0
"(0.183, 0.184]",6557991.0
