ts,open,high,low,close,vol,bin
1768435200000,0.04691,0.04691,0.04686,0.04686,4606.0,"(0.0466, 0.0472]"
1768435260000,0.04682,0.04695,0.04681,0.04689,4283.0,"(0.0466, 0.0472]"
1768435320000,0.04689,0.04708,0.04689,0.04691,88734.0,"(0.0466, 0.0472]"
1768435380000,0.04695,0.04695,0.04691,0.04691,857.0,"(0.0466, 0.0472]"
1768435440000,0.04692,0.04699,0.04691,0.04699,3837.0,"(0.0466, 0.0472]"
1768435500000,0.04694,0.04698,0.04693,0.04698,1033.0,"(0.0466, 0.0472]"
1768435560000,0.047,0.047,0.04687,0.04687,21619.0,"(0.0466, 0.0472]"
1768435620000,0.04687,0.04687,0.04687,0.04687,691.0,"(0.0466, 0.0472]"
1768435680000,0.04682,0.04687,0.04682,0.04687,2230.0,"(0.0466, 0.0472]"
1768435740000,0.04683,0.04683,0.04679,0.04682,1772.0,"(0.0466, 0.0472]"
1768435800000,0.04678,0.04685,0.04678,0.04685,2130.0,"(0.0466, 0.0472]"
1768435860000,0.04684,0.04688,0.04683,0.04688,964.0,"(0.0466, 0.0472]"
1768435920000,0.04686,0.04691,0.04686,0.04691,6082.0,"(0.0466, 0.0472]"
1768435980000,0.04692,0.04692,0.04692,0.04692,256.0,"(0.0466, 0.0472]"
1768436040000,0.04692,0.04692,0.04689,0.04689,1382.0,"(0.0466, 0.0472]"
1768436100000,0.04689,0.04696,0.04686,0.04696,2954.0,"(0.0466, 0.0472]"
1768436160000,0.04689,0.04691,0.04686,0.04686,3315.0,"(0.0466, 0.0472]"
1768436220000,0.0469,0.04704,0.0469,0.04697,15182.0,"(0.0466, 0.0472]"
1768436280000,0.04696,0.04696,0.04695,0.04695,3080.0,"(0.0466, 0.0472]"
1768436340000,0.04694,0.04699,0.04694,0.04694,755.0,"(0.0466, 0.0472]"
1768436400000,0.04694,0.04694,0.04694,0.04694,0.0,"(0.0466, 0.0472]"
1768436460000,0.04693,0.04693,0.04693,0.04693,532.0,"(0.0466, 0.0472]"
1768436520000,0.04693,0.04693,0.04692,0.04693,1142.0,"(0.0466, 0.0472]"
1768436580000,0.04693,0.04695,0.04692,0.04693,2473.0,"(0.0466, 0.0472]"
1768436640000,0.04693,0.04698,0.0469,0.0469,22657.0,"(0.0466, 0.0472]"
1768436700000,0.0469,0.0469,0.04689,0.04689,1052.0,"(0.0466, 0.0472]"
1768436760000,0.04689,0.04691,0.04688,0.04691,1905.0,"(0.0466, 0.0472]"
1768436820000,0.04691,0.04691,0.04691,0.04691,0.0,"(0.0466, 0.0472]"
1768436880000,0.04688,0.04688,0.04688,0.04688,532.0,"(0.0466, 0.0472]"
