bin,vol
"(0.018, 0.0186]",3057191.0
"(0.0186, 0.0192]",617370490.0
"(0.0192, 0.0198]",579787656.0
"(0.0198, 0.0203]",1598869665.0
"(0.0203, 0.0209]",1637846626.0
"(0.0209, 0.0215]",1490681193.0
"(0.0215, 0.0221]",1108658966.0
"(0.0221, 0.0227]",632176745.0
"(0.0227, 0.0233]",505642547.0
"(0.0233, 0.0238]",757704315.0
"(0.0238, 0.0244]",959350687.0
"(0.0244, 0.025]",1008570714.0
"(0.025, 0.0256]",1241640827.0
"(0.0256, 0.0262]",983948410.0
"(0.0262, 0.0268]",1162017249.0
"(0.0268, 0.0273]",599096791.0
"(0.0273, 0.0279]",360901991.0
"(0.0279, 0.0285]",68813134.0
"(0.0303, 0.0308]",47903608.0
"(0.0314, 0.032]",26721519.0
"(0.032, 0.0326]",69025737.0
"(0.0326, 0.0332]",25792816.0
"(0.0332, 0.0338]",83912391.0
"(0.0338, 0.0343]",51998231.0
"(0.0343, 0.0349]",17472793.0
"(0.0349, 0.0355]",22758176.0
"(0.0361, 0.0367]",17044831.0
"(0.0367, 0.0373]",8383681.0
"(0.0373, 0.0378]",43229781.0
"(0.0378, 0.0384]",43232275.0
"(0.0384, 0.039]",30670093.0
"(0.039, 0.0396]",44357049.0
"(0.0396, 0.0402]",67609925.0
"(0.0402, 0.0408]",42786600.0
"(0.0408, 0.0413]",22888945.0
"(0.0413, 0.0419]",13149817.0
"(0.0425, 0.0431]",10977637.0
"(0.0431, 0.0437]",5399449.0
"(0.0437, 0.0443]",11267661.0
"(0.0443, 0.0448]",805329.0
"(0.0448, 0.0454]",4949956.0
"(0.0454, 0.046]",5716599.0
"(0.046, 0.0466]",4071555.0
"(0.0466, 0.0472]",1177075.0
