ts,open,high,low,close,vol,bin
1768608000000,0.2351,0.2355,0.235,0.2352,53555.0,"(0.233, 0.236]"
1768608060000,0.2351,0.2354,0.2351,0.2351,7858.0,"(0.233, 0.236]"
1768608120000,0.2351,0.2354,0.235,0.2353,6828.0,"(0.233, 0.236]"
1768608180000,0.2352,0.2352,0.235,0.2352,9514.0,"(0.233, 0.236]"
1768608240000,0.2351,0.2352,0.2348,0.2351,22364.0,"(0.233, 0.236]"
1768608300000,0.235,0.2352,0.235,0.2351,5007.0,"(0.233, 0.236]"
1768608360000,0.235,0.2351,0.2347,0.2348,12110.0,"(0.233, 0.236]"
1768608420000,0.2347,0.2349,0.2344,0.2345,36752.0,"(0.233, 0.236]"
1768608480000,0.2345,0.2345,0.2341,0.2343,13023.0,"(0.233, 0.236]"
1768608540000,0.2342,0.2344,0.2342,0.2343,1055.0,"(0.233, 0.236]"
1768608600000,0.2343,0.2345,0.2343,0.2345,6076.0,"(0.233, 0.236]"
1768608660000,0.2345,0.2346,0.2345,0.2346,2646.0,"(0.233, 0.236]"
1768608720000,0.2345,0.2346,0.2345,0.2346,769.0,"(0.233, 0.236]"
1768608780000,0.2346,0.2348,0.2344,0.2345,13811.0,"(0.233, 0.236]"
1768608840000,0.2344,0.2345,0.2342,0.2343,3250.0,"(0.233, 0.236]"
1768608900000,0.2343,0.2343,0.2342,0.2343,345.0,"(0.233, 0.236]"
1768608960000,0.2342,0.2345,0.2342,0.2345,7133.0,"(0.233, 0.236]"
1768609020000,0.2345,0.2345,0.2343,0.2345,1246.0,"(0.233, 0.236]"
1768609080000,0.2345,0.2347,0.2345,0.2347,1890.0,"(0.233, 0.236]"
1768609140000,0.2347,0.2347,0.2347,0.2347,273.0,"(0.233, 0.236]"
1768609200000,0.2347,0.2347,0.2347,0.2347,263.0,"(0.233, 0.236]"
1768609260000,0.2346,0.2347,0.2346,0.2347,1974.0,"(0.233, 0.236]"
1768609320000,0.2346,0.2347,0.2346,0.2346,1816.0,"(0.233, 0.236]"
1768609380000,0.2347,0.2347,0.2344,0.2346,15955.0,"(0.233, 0.236]"
1768609440000,0.2345,0.2345,0.2345,0.2345,222.0,"(0.233, 0.236]"
1768609500000,0.2345,0.2346,0.2345,0.2346,1424.0,"(0.233, 0.236]"
1768609560000,0.2346,0.2347,0.2345,0.2345,9616.0,"(0.233, 0.236]"
1768609620000,0.2345,0.2345,0.234,0.234,6381.0,"(0.233, 0.236]"
1768609680000,0.2341,0.2343,0.2341,0.2341,4528.0,"(0.233, 0.236]"
1768609740000,0.2342,0.2342,0.2341,0.2341,413.0,"(0.233, 0.236]"
1768609800000,0.234,0.234,0.2337,0.2339,44860.0,"(0.233, 0.236]"
1768609860000,0.2339,0.2339,0.2338,0.2339,1172.0,"(0.233, 0.236]"
1768609920000,0.2339,0.2339,0.2337,0.2339,3012.0,"(0.233, 0.236]"
