bin,vol
"(0.181, 0.184]",708957.0
"(0.184, 0.187]",11684126.0
"(0.187, 0.19]",19297682.0
"(0.19, 0.193]",23624441.0
"(0.193, 0.196]",16158804.0
"(0.196, 0.199]",28869110.0
"(0.199, 0.202]",34501639.0
"(0.202, 0.205]",7210808.0
"(0.205, 0.208]",1319140.0
"(0.208, 0.211]",2623364.0
"(0.211, 0.214]",3487602.0
"(0.214, 0.217]",4825543.0
"(0.217, 0.22]",9826937.0
"(0.22, 0.223]",11237983.0
"(0.223, 0.226]",6651506.0
"(0.226, 0.229]",18498217.0
"(0.229, 0.233]",18256404.0
"(0.233, 0.236]",9798463.0
"(0.236, 0.239]",2519951.0
"(0.242, 0.245]",2012180.0
"(0.245, 0.248]",11006635.0
"(0.248, 0.251]",868730.0
"(0.251, 0.254]",7079527.0
"(0.254, 0.257]",7013764.0
"(0.257, 0.26]",17699500.0
"(0.26, 0.263]",42196381.0
"(0.263, 0.266]",77400753.0
"(0.266, 0.269]",105904842.0
"(0.269, 0.272]",77504786.0
"(0.272, 0.275]",56602022.0
"(0.275, 0.278]",39303663.0
"(0.278, 0.281]",38271750.0
"(0.281, 0.284]",43415752.0
"(0.284, 0.287]",32296247.0
"(0.287, 0.291]",12723449.0
"(0.291, 0.294]",40364930.0
"(0.294, 0.297]",66366284.0
"(0.297, 0.3]",37332809.0
"(0.3, 0.303]",30315584.0
"(0.303, 0.306]",39409215.0
"(0.306, 0.309]",19370543.0
"(0.309, 0.312]",18425698.0
"(0.312, 0.315]",24543838.0
"(0.315, 0.318]",46994227.0
"(0.318, 0.321]",24352143.0
"(0.321, 0.324]",38375909.0
"(0.324, 0.327]",52928391.0
"(0.327, 0.33]",13836207.0
