ts,open,high,low,close,vol,bin
1768003200000,0.07857,0.07862,0.07856,0.07856,4259.0,"(0.0784, 0.0788]"
1768003260000,0.07861,0.07861,0.07858,0.07859,2169.0,"(0.0784, 0.0788]"
1768003320000,0.07859,0.07859,0.07852,0.07852,2672.0,"(0.0784, 0.0788]"
1768003380000,0.07853,0.07856,0.07851,0.07851,4435.0,"(0.0784, 0.0788]"
1768003440000,0.07854,0.07858,0.07854,0.07858,7605.0,"(0.0784, 0.0788]"
1768003500000,0.07855,0.07861,0.07852,0.07861,5142.0,"(0.0784, 0.0788]"
1768003560000,0.07857,0.07863,0.07852,0.07856,9742.0,"(0.0784, 0.0788]"
1768003620000,0.07857,0.07862,0.07857,0.07861,883.0,"(0.0784, 0.0788]"
1768003680000,0.0786,0.07861,0.07856,0.07856,1145.0,"(0.0784, 0.0788]"
1768003740000,0.07859,0.07865,0.07855,0.07863,14066.0,"(0.0784, 0.0788]"
1768003800000,0.07866,0.07877,0.07862,0.07873,30920.0,"(0.0784, 0.0788]"
1768003860000,0.07874,0.07874,0.07874,0.07874,1901.0,"(0.0784, 0.0788]"
1768003920000,0.07874,0.07878,0.07872,0.07877,2796.0,"(0.0784, 0.0788]"
1768003980000,0.07875,0.07876,0.07872,0.07873,3164.0,"(0.0784, 0.0788]"
1768004040000,0.07873,0.07879,0.07873,0.07874,3417.0,"(0.0784, 0.0788]"
1768004100000,0.07875,0.07875,0.07872,0.07872,176.0,"(0.0784, 0.0788]"
1768004160000,0.07874,0.07884,0.07871,0.07884,9105.0,"(0.0788, 0.0791]"
1768004220000,0.07881,0.07887,0.07881,0.07884,1514.0,"(0.0788, 0.0791]"
1768004280000,0.07885,0.07885,0.07877,0.07879,11040.0,"(0.0788, 0.0791]"
1768004340000,0.07886,0.07886,0.07883,0.07883,3638.0,"(0.0788, 0.0791]"
1768004400000,0.07875,0.07875,0.0787,0.0787,121.0,"(0.0784, 0.0788]"
1768004460000,0.0787,0.07874,0.0787,0.07874,9922.0,"(0.0784, 0.0788]"
1768004520000,0.07874,0.07874,0.07868,0.07868,268.0,"(0.0784, 0.0788]"
1768004580000,0.07874,0.07876,0.07871,0.07876,2205.0,"(0.0784, 0.0788]"
1768004640000,0.07878,0.07878,0.07878,0.07878,5078.0,"(0.0788, 0.0791]"
1768004700000,0.07876,0.07876,0.07874,0.07874,269.0,"(0.0784, 0.0788]"
1768004760000,0.07874,0.07877,0.07871,0.07871,3180.0,"(0.0784, 0.0788]"
1768004820000,0.07875,0.07877,0.07864,0.07871,24352.0,"(0.0784, 0.0788]"
1768004880000,0.07868,0.07868,0.07866,0.07866,1187.0,"(0.0784, 0.0788]"
1768004940000,0.07869,0.07873,0.07867,0.07867,3864.0,"(0.0784, 0.0788]"
1768005000000,0.07873,0.07873,0.07868,0.07868,314.0,"(0.0784, 0.0788]"
1768005060000,0.07878,0.07886,0.07878,0.07878,7099.0,"(0.0788, 0.0791]"
1768005120000,0.07878,0.0788,0.07875,0.07875,5141.0,"(0.0784, 0.0788]"
1768005180000,0.07876,0.07876,0.07871,0.07871,384.0,"(0.0784, 0.0788]"
1768005240000,0.07872,0.07875,0.07871,0.07871,767.0,"(0.0784, 0.0788]"
1768005300000,0.07871,0.07871,0.07868,0.07868,1505.0,"(0.0784, 0.0788]"
1768005360000,0.07867,0.07868,0.07866,0.07866,923.0,"(0.0784, 0.0788]"
1768005420000,0.07869,0.07871,0.07867,0.07867,570.0,"(0.0784, 0.0788]"
1768005480000,0.07867,0.07871,0.07867,0.07871,381.0,"(0.0784, 0.0788]"
1768005540000,0.07871,0.07873,0.07866,0.07868,2578.0,"(0.0784, 0.0788]"
1768005600000,0.07868,0.07868,0.07858,0.07858,341.0,"(0.0784, 0.0788]"
1768005660000,0.07856,0.07858,0.07856,0.07858,9656.0,"(0.0784, 0.0788]"
