bin,vol
"(0.072, 0.0723]",442967.0
"(0.0723, 0.0726]",2018703.0
"(0.0726, 0.073]",4650897.0
"(0.073, 0.0733]",2963714.0
"(0.0733, 0.0736]",1170859.0
"(0.0736, 0.0739]",1384267.0
"(0.0739, 0.0743]",2266886.0
"(0.0743, 0.0746]",4889960.0
"(0.0746, 0.0749]",6193604.0
"(0.0749, 0.0752]",7997354.0
"(0.0752, 0.0755]",9193588.0
"(0.0755, 0.0759]",10542085.0
"(0.0759, 0.0762]",5417845.0
"(0.0762, 0.0765]",3889646.0
"(0.0765, 0.0768]",3255814.0
"(0.0768, 0.0772]",5733510.0
"(0.0772, 0.0775]",5818020.0
"(0.0775, 0.0778]",8505766.0
"(0.0778, 0.0781]",8948451.0
"(0.0781, 0.0784]",4992882.0
"(0.0784, 0.0788]",3404542.0
"(0.0788, 0.0791]",2352913.0
"(0.0791, 0.0794]",2199149.0
"(0.0794, 0.0797]",1341737.0
"(0.0797, 0.0801]",609088.0
"(0.0801, 0.0804]",507038.0
"(0.0804, 0.0807]",390166.0
"(0.0807, 0.081]",334625.0
"(0.081, 0.0813]",499321.0
"(0.0813, 0.0817]",422558.0
"(0.0817, 0.082]",531942.0
"(0.082, 0.0823]",328590.0
"(0.0823, 0.0826]",148832.0
"(0.0826, 0.083]",302004.0
"(0.083, 0.0833]",118179.0
"(0.0836, 0.0839]",1062087.0
"(0.0839, 0.0842]",420492.0
"(0.0842, 0.0846]",1302465.0
"(0.0846, 0.0849]",1725679.0
"(0.0849, 0.0852]",1789663.0
"(0.0859, 0.0862]",315534.0
"(0.0865, 0.0868]",594184.0
"(0.0868, 0.0871]",800130.0
"(0.0871, 0.0875]",1669352.0
