bin,vol
"(0.0248, 0.0251]",1611502.0
"(0.0251, 0.0255]",923088.0
"(0.0255, 0.0259]",14713987.0
"(0.0259, 0.0263]",19485764.0
"(0.0263, 0.0266]",17216474.0
"(0.0266, 0.027]",18330181.0
"(0.027, 0.0274]",30020801.0
"(0.0274, 0.0278]",28141344.0
"(0.0278, 0.0281]",138003965.0
"(0.0281, 0.0285]",99870104.0
"(0.0285, 0.0289]",72061654.0
"(0.0289, 0.0293]",93642511.0
"(0.0293, 0.0296]",61302312.0
"(0.0296, 0.03]",52004105.0
"(0.03, 0.0304]",38084974.0
"(0.0304, 0.0308]",42241762.0
"(0.0308, 0.0311]",41890495.0
"(0.0311, 0.0315]",19498556.0
"(0.0315, 0.0319]",8099595.0
"(0.0323, 0.0326]",17213520.0
"(0.0326, 0.033]",45705371.0
"(0.033, 0.0334]",107589433.0
"(0.0334, 0.0338]",96239859.0
"(0.0338, 0.0341]",57376612.0
"(0.0341, 0.0345]",48437976.0
"(0.0345, 0.0349]",42262490.0
"(0.0349, 0.0352]",17965677.0
"(0.0352, 0.0356]",25189730.0
"(0.0356, 0.036]",34196899.0
"(0.036, 0.0364]",108235526.0
"(0.0364, 0.0367]",113240328.0
"(0.0367, 0.0371]",100929437.0
"(0.0371, 0.0375]",224940690.0
"(0.0375, 0.0379]",329045648.0
"(0.0379, 0.0382]",197816120.0
"(0.0382, 0.0386]",280722001.0
"(0.0386, 0.039]",205817955.0
"(0.039, 0.0394]",212174587.0
"(0.0394, 0.0397]",209010709.0
"(0.0397, 0.0401]",217812893.0
"(0.0401, 0.0405]",147489734.0
"(0.0405, 0.0409]",162935261.0
"(0.0409, 0.0412]",65700842.0
"(0.0412, 0.0416]",126470714.0
"(0.0416, 0.042]",68090878.0
"(0.042, 0.0424]",34691053.0
"(0.0424, 0.0427]",36696197.0
