bin,vol
"(0.0494, 0.0501]",2519175.0
"(0.0501, 0.0508]",5818726.0
"(0.0508, 0.0515]",17911642.0
"(0.0515, 0.0522]",35463248.0
"(0.0522, 0.0528]",24209732.0
"(0.0528, 0.0535]",8466132.0
"(0.0535, 0.0542]",26460334.0
"(0.0542, 0.0549]",23609214.0
"(0.0549, 0.0556]",2483254.0
"(0.0556, 0.0563]",8930517.0
"(0.0563, 0.0569]",2503781.0
"(0.0569, 0.0576]",7194787.0
"(0.0576, 0.0583]",11428302.0
"(0.0583, 0.059]",17981543.0
"(0.059, 0.0597]",44712297.0
"(0.0597, 0.0604]",46791367.0
"(0.0604, 0.061]",55016160.0
"(0.061, 0.0617]",64708257.0
"(0.0617, 0.0624]",86976101.0
"(0.0624, 0.0631]",115338647.0
"(0.0631, 0.0638]",111115269.0
"(0.0638, 0.0645]",109028679.0
"(0.0645, 0.0651]",125480303.0
"(0.0651, 0.0658]",97178674.0
"(0.0658, 0.0665]",41158240.0
"(0.0665, 0.0672]",22483967.0
"(0.0672, 0.0679]",15056962.0
"(0.0679, 0.0686]",8248887.0
"(0.0686, 0.0692]",5704942.0
"(0.0699, 0.0706]",3401097.0
"(0.0713, 0.072]",5572020.0
"(0.072, 0.0727]",5130728.0
"(0.0727, 0.0733]",948012.0
"(0.0733, 0.074]",6728507.0
"(0.074, 0.0747]",35868546.0
"(0.0747, 0.0754]",16960008.0
"(0.0754, 0.0761]",34748268.0
"(0.0761, 0.0768]",17117498.0
"(0.0768, 0.0775]",6308249.0
"(0.0775, 0.0781]",3824930.0
"(0.0788, 0.0795]",11266545.0
"(0.0795, 0.0802]",24375732.0
"(0.0802, 0.0809]",4981082.0
