bin,vol
"(0.224, 0.229]",27295972.8
"(0.229, 0.235]",53504649.6
"(0.235, 0.241]",163981164.4
"(0.241, 0.246]",63425364.3
"(0.246, 0.252]",25737228.7
"(0.252, 0.257]",13965971.200000001
"(0.257, 0.263]",2524573.6
"(0.263, 0.269]",1233965.0
"(0.269, 0.274]",23540037.4
"(0.274, 0.28]",9438443.9
"(0.28, 0.285]",14530573.0
"(0.285, 0.291]",14272985.2
"(0.297, 0.302]",11243303.5
"(0.302, 0.308]",8135075.6
"(0.308, 0.314]",6196329.4
"(0.314, 0.319]",12586013.899999999
"(0.319, 0.325]",18821415.6
"(0.33, 0.336]",9136729.4
"(0.336, 0.342]",5590487.9
"(0.342, 0.347]",18999392.6
"(0.347, 0.353]",19098527.3
"(0.364, 0.37]",19779791.3
"(0.381, 0.387]",20801872.6
"(0.387, 0.392]",12406836.3
"(0.392, 0.398]",2243391.6
"(0.398, 0.404]",12183357.4
"(0.409, 0.415]",7963163.2
"(0.415, 0.42]",22359098.200000003
"(0.42, 0.426]",7944858.0
"(0.426, 0.432]",29147491.5
"(0.432, 0.437]",4083002.4000000004
"(0.437, 0.443]",24547529.0
"(0.443, 0.449]",23784620.7
"(0.449, 0.454]",11566884.2
"(0.454, 0.46]",18810580.6
"(0.46, 0.465]",4620743.7
"(0.465, 0.471]",4174553.1
"(0.471, 0.477]",12218609.0
"(0.477, 0.482]",11093812.8
