bin,vol
"(0.0379, 0.0382]",2105258.5
"(0.0384, 0.0387]",3723567.9000000004
"(0.0389, 0.0392]",3772562.6
"(0.0392, 0.0395]",2073146.8
"(0.0395, 0.0397]",5174484.0
"(0.0397, 0.04]",3773572.6
"(0.04, 0.0402]",3961622.1999999997
"(0.0402, 0.0405]",462736.8
"(0.0407, 0.041]",2519020.6999999997
"(0.041, 0.0412]",706260.4
"(0.0412, 0.0415]",6042694.8
"(0.0415, 0.0417]",9163060.4
"(0.0417, 0.042]",9308424.0
"(0.042, 0.0423]",16560846.7
"(0.0423, 0.0425]",32264712.6
"(0.0425, 0.0428]",31383635.9
"(0.0428, 0.043]",23048038.6
"(0.043, 0.0433]",29239569.8
"(0.0433, 0.0435]",25782469.4
"(0.0435, 0.0438]",30874206.3
"(0.0438, 0.044]",37087271.8
"(0.044, 0.0443]",25723969.2
"(0.0443, 0.0445]",24907568.6
"(0.0445, 0.0448]",28634339.6
"(0.0448, 0.0451]",26724530.3
"(0.0451, 0.0453]",24303654.5
"(0.0453, 0.0456]",19132603.9
"(0.0456, 0.0458]",23816907.1
"(0.0458, 0.0461]",22044645.7
"(0.0461, 0.0463]",16469205.1
"(0.0463, 0.0466]",13674781.1
"(0.0466, 0.0468]",11212709.6
"(0.0468, 0.0471]",8407939.6
"(0.0471, 0.0473]",6251710.899999999
"(0.0473, 0.0476]",4065710.5
"(0.0476, 0.0479]",5592845.1
"(0.0479, 0.0481]",13474740.3
"(0.0481, 0.0484]",9633141.8
"(0.0484, 0.0486]",15241149.6
"(0.0486, 0.0489]",12308212.6
"(0.0489, 0.0491]",15690953.7
"(0.0491, 0.0494]",19800165.7
"(0.0494, 0.0496]",17635030.8
"(0.0496, 0.0499]",8930284.1
"(0.0499, 0.0501]",2433253.2
