ts,open,high,low,close,vol,bin
1766966400000,0.6976,0.6989,0.6972,0.6978,132076.2,"(0.689, 0.699]"
1766966460000,0.6978,0.698,0.6956,0.6958,29045.7,"(0.689, 0.699]"
1766966520000,0.6957,0.6959,0.6953,0.6955,18300.2,"(0.689, 0.699]"
1766966580000,0.6956,0.6958,0.6952,0.6955,6786.9,"(0.689, 0.699]"
1766966640000,0.6956,0.696,0.6954,0.696,6061.6,"(0.689, 0.699]"
1766966700000,0.696,0.6965,0.6957,0.6958,31530.8,"(0.689, 0.699]"
1766966760000,0.6958,0.697,0.6956,0.6969,7296.5,"(0.689, 0.699]"
1766966820000,0.6968,0.6985,0.6968,0.6982,11102.9,"(0.689, 0.699]"
1766966880000,0.6983,0.6985,0.6972,0.6978,11156.3,"(0.689, 0.699]"
1766966940000,0.6978,0.6978,0.6967,0.6972,21158.0,"(0.689, 0.699]"
1766967000000,0.697,0.6972,0.6967,0.6972,17004.0,"(0.689, 0.699]"
1766967060000,0.6972,0.6975,0.6968,0.6968,29113.1,"(0.689, 0.699]"
1766967120000,0.6968,0.6968,0.6958,0.6963,19334.6,"(0.689, 0.699]"
1766967180000,0.6964,0.6967,0.6955,0.6958,36296.6,"(0.689, 0.699]"
1766967240000,0.6957,0.6969,0.6949,0.6963,100979.8,"(0.689, 0.699]"
1766967300000,0.6962,0.6977,0.6954,0.6955,123749.9,"(0.689, 0.699]"
1766967360000,0.6956,0.6956,0.6949,0.6955,9863.8,"(0.689, 0.699]"
1766967420000,0.6955,0.6967,0.6951,0.6958,113516.9,"(0.689, 0.699]"
1766967480000,0.6959,0.6959,0.6946,0.6948,20259.8,"(0.689, 0.699]"
1766967540000,0.6948,0.6952,0.6947,0.6951,19104.8,"(0.689, 0.699]"
1766967600000,0.6951,0.6958,0.695,0.6953,15527.9,"(0.689, 0.699]"
1766967660000,0.6953,0.6955,0.6944,0.6946,23741.5,"(0.689, 0.699]"
1766967720000,0.6946,0.6962,0.6942,0.696,24445.9,"(0.689, 0.699]"
1766967780000,0.6961,0.6982,0.6961,0.6979,34671.0,"(0.689, 0.699]"
1766967840000,0.698,0.7003,0.697,0.6976,99302.6,"(0.689, 0.699]"
1766967900000,0.6976,0.6997,0.6976,0.6992,19167.2,"(0.689, 0.699]"
1766967960000,0.6992,0.6997,0.6987,0.699,20943.9,"(0.699, 0.709]"
1766968020000,0.699,0.6995,0.699,0.6995,8773.2,"(0.699, 0.709]"
1766968080000,0.6996,0.6998,0.6987,0.6988,22325.2,"(0.699, 0.709]"
1766968140000,0.6987,0.7,0.6985,0.6998,16063.2,"(0.699, 0.709]"
1766968200000,0.6998,0.7026,0.6997,0.7022,98201.2,"(0.699, 0.709]"
1766968260000,0.7023,0.7048,0.702,0.7024,159592.5,"(0.699, 0.709]"
1766968320000,0.7025,0.7052,0.7025,0.7033,58832.0,"(0.699, 0.709]"
