bin,vol
"(0.638, 0.648]",16920612.2
"(0.648, 0.658]",13791688.3
"(0.658, 0.668]",5263846.0
"(0.668, 0.679]",29145684.9
"(0.679, 0.689]",58898255.4
"(0.689, 0.699]",18908154.6
"(0.699, 0.709]",13019749.9
"(0.709, 0.719]",15922123.7
"(0.719, 0.729]",12261256.6
"(0.729, 0.739]",10858668.6
"(0.739, 0.749]",11245621.3
"(0.749, 0.759]",8285888.2
"(0.759, 0.769]",2290101.3
"(0.769, 0.779]",4880434.3
"(0.779, 0.789]",6650544.6
"(0.789, 0.799]",1947926.8
"(0.799, 0.809]",1347051.5
"(0.809, 0.819]",20406227.0
"(0.819, 0.829]",19798341.6
"(0.829, 0.839]",35991297.9
"(0.839, 0.849]",35605556.8
"(0.849, 0.859]",21218723.4
"(0.859, 0.869]",37674249.4
"(0.869, 0.88]",36429664.0
"(0.88, 0.89]",23281196.6
"(0.89, 0.9]",16002237.4
"(0.9, 0.91]",23058630.7
"(0.91, 0.92]",2612091.3
"(0.92, 0.93]",2062153.7
"(0.93, 0.94]",1585898.9
"(0.94, 0.95]",3045245.5
"(0.95, 0.96]",1783914.6
"(0.96, 0.97]",1205142.2
"(0.97, 0.98]",2649690.0999999996
"(0.98, 0.99]",2795241.1
"(0.99, 1.0]",10799906.4
"(1.0, 1.01]",8299868.399999999
"(1.01, 1.02]",7803026.4
"(1.02, 1.03]",14863075.5
"(1.03, 1.04]",17234873.3
"(1.04, 1.05]",27960086.2
"(1.05, 1.06]",34713352.2
"(1.06, 1.071]",32972098.5
"(1.071, 1.081]",29658294.4
"(1.081, 1.091]",26746099.9
"(1.091, 1.101]",5463890.0
"(1.101, 1.111]",5695388.6
"(1.111, 1.121]",5833696.7
"(1.121, 1.131]",13771447.7
"(1.131, 1.141]",3951909.5
