ts,open,high,low,close,vol,bin
1772582400000,0.00938,0.00941,0.00938,0.0094,60346.0,"(0.00936, 0.00949]"
1772582460000,0.00941,0.00941,0.0094,0.0094,5127.0,"(0.00936, 0.00949]"
1772582520000,0.0094,0.0094,0.0094,0.0094,2818.0,"(0.00936, 0.00949]"
1772582580000,0.0094,0.0094,0.00939,0.00939,38739.0,"(0.00936, 0.00949]"
1772582640000,0.00939,0.00941,0.00939,0.00941,203902.0,"(0.00936, 0.00949]"
1772582700000,0.0094,0.0094,0.00939,0.00939,26288.0,"(0.00936, 0.00949]"
1772582760000,0.00939,0.0094,0.00939,0.0094,1826.0,"(0.00936, 0.00949]"
1772582820000,0.0094,0.0094,0.0094,0.0094,52716.0,"(0.00936, 0.00949]"
1772582880000,0.0094,0.0094,0.00938,0.00938,12326.0,"(0.00936, 0.00949]"
1772582940000,0.00938,0.00939,0.00938,0.00939,67726.0,"(0.00936, 0.00949]"
1772583000000,0.00939,0.00939,0.00938,0.00938,28711.0,"(0.00936, 0.00949]"
1772583060000,0.00939,0.00939,0.00938,0.00939,9075.0,"(0.00936, 0.00949]"
1772583120000,0.00939,0.00939,0.00939,0.00939,533.0,"(0.00936, 0.00949]"
1772583180000,0.00939,0.00939,0.00939,0.00939,29373.0,"(0.00936, 0.00949]"
1772583240000,0.00939,0.0094,0.00939,0.0094,43684.0,"(0.00936, 0.00949]"
1772583300000,0.0094,0.0094,0.0094,0.0094,2018.0,"(0.00936, 0.00949]"
1772583360000,0.00941,0.00941,0.00941,0.00941,12727.0,"(0.00936, 0.00949]"
1772583420000,0.00942,0.00942,0.00942,0.00942,12703.0,"(0.00936, 0.00949]"
1772583480000,0.00941,0.00943,0.00941,0.00941,111815.0,"(0.00936, 0.00949]"
1772583540000,0.00941,0.00942,0.00941,0.00942,26897.0,"(0.00936, 0.00949]"
1772583600000,0.00942,0.00942,0.00941,0.00941,2180.0,"(0.00936, 0.00949]"
1772583660000,0.00942,0.00942,0.00941,0.00942,5004.0,"(0.00936, 0.00949]"
1772583720000,0.00941,0.00942,0.00941,0.00941,3536.0,"(0.00936, 0.00949]"
1772583780000,0.00941,0.00941,0.00941,0.00941,9532.0,"(0.00936, 0.00949]"
1772583840000,0.0094,0.0094,0.00938,0.00939,8987.0,"(0.00936, 0.00949]"
1772583900000,0.00939,0.0094,0.00939,0.0094,7572.0,"(0.00936, 0.00949]"
1772583960000,0.00939,0.0094,0.00939,0.0094,6549.0,"(0.00936, 0.00949]"
1772584020000,0.0094,0.0094,0.00939,0.0094,5484.0,"(0.00936, 0.00949]"
1772584080000,0.00939,0.0094,0.00939,0.0094,1598.0,"(0.00936, 0.00949]"
1772584140000,0.00941,0.00941,0.0094,0.0094,3431.0,"(0.00936, 0.00949]"
1772584200000,0.0094,0.0094,0.0094,0.0094,0.0,"(0.00936, 0.00949]"
1772584260000,0.0094,0.0094,0.00939,0.00939,27789.0,"(0.00936, 0.00949]"
1772584320000,0.0094,0.0094,0.0094,0.0094,1391.0,"(0.00936, 0.00949]"
1772584380000,0.00939,0.00939,0.00936,0.00938,209260.0,"(0.00936, 0.00949]"
1772584440000,0.00937,0.00937,0.00935,0.00935,242530.0,"(0.00936, 0.00949]"
1772584500000,0.00935,0.00935,0.00934,0.00934,270877.0,"(0.00923, 0.00936]"
1772584560000,0.00934,0.00936,0.00934,0.00936,122468.0,"(0.00923, 0.00936]"
1772584620000,0.00936,0.00936,0.00936,0.00936,1452.0,"(0.00936, 0.00949]"
1772584680000,0.00935,0.00935,0.00935,0.00935,24225.0,"(0.00923, 0.00936]"
1772584740000,0.00933,0.00934,0.00933,0.00933,33023.0,"(0.00923, 0.00936]"
1772584800000,0.00934,0.00935,0.00934,0.00935,47651.0,"(0.00923, 0.00936]"
1772584860000,0.00935,0.00935,0.00933,0.00933,82061.0,"(0.00923, 0.00936]"
1772584920000,0.00933,0.00934,0.00933,0.00933,37015.0,"(0.00923, 0.00936]"
1772584980000,0.00933,0.00933,0.00933,0.00933,2275.0,"(0.00923, 0.00936]"
1772585040000,0.00933,0.00934,0.00933,0.00934,4657.0,"(0.00923, 0.00936]"
1772585100000,0.00933,0.00934,0.00933,0.00934,39824.0,"(0.00923, 0.00936]"
1772585160000,0.00935,0.00935,0.00935,0.00935,3240.0,"(0.00923, 0.00936]"
1772585220000,0.00934,0.00934,0.00934,0.00934,954.0,"(0.00923, 0.00936]"
1772585280000,0.00935,0.00935,0.00935,0.00935,22764.0,"(0.00923, 0.00936]"
1772585340000,0.00935,0.00939,0.00935,0.00939,204119.0,"(0.00936, 0.00949]"
1772585400000,0.00939,0.00939,0.00939,0.00939,3025.0,"(0.00936, 0.00949]"
1772585460000,0.00938,0.00938,0.00937,0.00937,22505.0,"(0.00936, 0.00949]"
1772585520000,0.00937,0.00938,0.00936,0.00936,34630.0,"(0.00936, 0.00949]"
1772585580000,0.00937,0.00937,0.00937,0.00937,1974.0,"(0.00936, 0.00949]"
1772585640000,0.00936,0.00937,0.00936,0.00937,2079.0,"(0.00936, 0.00949]"
1772585700000,0.00937,0.00937,0.00937,0.00937,16620.0,"(0.00936, 0.00949]"
1772585760000,0.00937,0.00938,0.00937,0.00938,38170.0,"(0.00936, 0.00949]"
1772585820000,0.00937,0.00937,0.00937,0.00937,3553.0,"(0.00936, 0.00949]"
1772585880000,0.00938,0.00938,0.00938,0.00938,102225.0,"(0.00936, 0.00949]"
1772585940000,0.00938,0.00938,0.00938,0.00938,23522.0,"(0.00936, 0.00949]"
1772586000000,0.00938,0.00938,0.00938,0.00938,9196.0,"(0.00936, 0.00949]"
1772586060000,0.00937,0.00939,0.00937,0.00939,24991.0,"(0.00936, 0.00949]"
1772586120000,0.00938,0.00942,0.00938,0.00942,156434.0,"(0.00936, 0.00949]"
1772586180000,0.00942,0.00942,0.00941,0.00941,83780.0,"(0.00936, 0.00949]"
1772586240000,0.00941,0.00941,0.0094,0.0094,89141.0,"(0.00936, 0.00949]"
1772586300000,0.0094,0.00941,0.0094,0.0094,21030.0,"(0.00936, 0.00949]"
1772586360000,0.0094,0.0094,0.00939,0.0094,22999.0,"(0.00936, 0.00949]"
1772586420000,0.00939,0.00939,0.00939,0.00939,587.0,"(0.00936, 0.00949]"
1772586480000,0.00938,0.00939,0.00938,0.00939,101261.0,"(0.00936, 0.00949]"
1772586540000,0.00938,0.00941,0.00938,0.00941,47168.0,"(0.00936, 0.00949]"
1772586600000,0.00941,0.00941,0.0094,0.00941,29145.0,"(0.00936, 0.00949]"
1772586660000,0.00942,0.00942,0.00942,0.00942,17767.0,"(0.00936, 0.00949]"
1772586720000,0.00942,0.00942,0.00942,0.00942,15683.0,"(0.00936, 0.00949]"
1772586780000,0.00942,0.00942,0.00941,0.00942,31185.0,"(0.00936, 0.00949]"
1772586840000,0.00942,0.00943,0.0094,0.0094,212574.0,"(0.00936, 0.00949]"
1772586900000,0.00941,0.00941,0.00941,0.00941,658.0,"(0.00936, 0.00949]"
1772586960000,0.00942,0.00942,0.00941,0.00941,2925.0,"(0.00936, 0.00949]"
1772587020000,0.00941,0.00943,0.0094,0.0094,75419.0,"(0.00936, 0.00949]"
1772587080000,0.00941,0.00942,0.0094,0.0094,3642.0,"(0.00936, 0.00949]"
1772587140000,0.00941,0.00941,0.00941,0.00941,1174.0,"(0.00936, 0.00949]"
1772587200000,0.00941,0.00941,0.0094,0.00941,7961.0,"(0.00936, 0.00949]"
1772587260000,0.0094,0.0094,0.00939,0.0094,14020.0,"(0.00936, 0.00949]"
1772587320000,0.0094,0.0094,0.0094,0.0094,1706.0,"(0.00936, 0.00949]"
1772587380000,0.0094,0.00941,0.00939,0.00939,15559.0,"(0.00936, 0.00949]"
1772587440000,0.00939,0.00939,0.00939,0.00939,10003.0,"(0.00936, 0.00949]"
1772587500000,0.0094,0.0094,0.00938,0.00938,60140.0,"(0.00936, 0.00949]"
1772587560000,0.00938,0.00938,0.00938,0.00938,3162.0,"(0.00936, 0.00949]"
1772587620000,0.00938,0.0094,0.00938,0.0094,42731.0,"(0.00936, 0.00949]"
1772587680000,0.00939,0.0094,0.00939,0.0094,9666.0,"(0.00936, 0.00949]"
1772587740000,0.00942,0.00943,0.00942,0.00943,18736.0,"(0.00936, 0.00949]"
1772587800000,0.00942,0.00942,0.00941,0.00942,3940.0,"(0.00936, 0.00949]"
1772587860000,0.00942,0.00944,0.00941,0.00944,26805.0,"(0.00936, 0.00949]"
1772587920000,0.00943,0.00946,0.00942,0.00946,858821.0,"(0.00936, 0.00949]"
1772587980000,0.00945,0.00948,0.00945,0.00948,200782.0,"(0.00936, 0.00949]"
1772588040000,0.00948,0.00948,0.00945,0.00945,45081.0,"(0.00936, 0.00949]"
1772588100000,0.00944,0.00946,0.00944,0.00946,28226.0,"(0.00936, 0.00949]"
1772588160000,0.00945,0.00946,0.00945,0.00946,53128.0,"(0.00936, 0.00949]"
1772588220000,0.00946,0.00946,0.00944,0.00945,96851.0,"(0.00936, 0.00949]"
1772588280000,0.00945,0.00945,0.00944,0.00945,12076.0,"(0.00936, 0.00949]"
1772588340000,0.00945,0.00945,0.00945,0.00945,1802.0,"(0.00936, 0.00949]"
1772588400000,0.00945,0.00945,0.00945,0.00945,45519.0,"(0.00936, 0.00949]"
1772588460000,0.00945,0.00946,0.00945,0.00946,39176.0,"(0.00936, 0.00949]"
1772588520000,0.00946,0.00948,0.00946,0.00948,67411.0,"(0.00936, 0.00949]"
1772588580000,0.00948,0.00948,0.00946,0.00946,82609.0,"(0.00936, 0.00949]"
1772588640000,0.00946,0.00946,0.00946,0.00946,28635.0,"(0.00936, 0.00949]"
1772588700000,0.00946,0.00946,0.00945,0.00945,129907.0,"(0.00936, 0.00949]"
1772588760000,0.00944,0.00947,0.00944,0.00945,338155.0,"(0.00936, 0.00949]"
1772588820000,0.00944,0.00944,0.00944,0.00944,2580.0,"(0.00936, 0.00949]"
