bin,vol
"(0.00897, 0.0091]",28484482.0
"(0.0091, 0.00923]",112813419.0
"(0.00923, 0.00936]",184728646.0
"(0.00936, 0.00949]",82910095.0
"(0.00949, 0.00962]",104432282.0
"(0.00962, 0.00975]",158584747.0
"(0.00975, 0.00988]",122203270.0
"(0.00988, 0.01]",32766396.0
"(0.01, 0.0101]",7421356.0
"(0.0101, 0.0103]",35671418.0
"(0.0103, 0.0104]",25196331.0
"(0.0104, 0.0105]",213966533.0
"(0.0105, 0.0107]",281351344.0
"(0.0107, 0.0108]",341193443.0
"(0.0108, 0.0109]",407057905.0
"(0.0109, 0.011]",430000632.0
"(0.011, 0.0112]",327562720.0
"(0.0112, 0.0113]",170476643.0
"(0.0113, 0.0114]",177175068.0
"(0.0114, 0.0116]",62652065.0
"(0.0116, 0.0117]",15572394.0
"(0.0117, 0.0118]",60321956.0
"(0.0118, 0.0119]",15819510.0
"(0.0119, 0.0121]",61039518.0
"(0.0121, 0.0122]",58292348.0
"(0.0122, 0.0123]",172442693.0
"(0.0123, 0.0125]",281488318.0
"(0.0125, 0.0126]",307810982.0
"(0.0126, 0.0127]",368558027.0
"(0.0127, 0.0129]",343000726.0
"(0.0129, 0.013]",408184542.0
"(0.013, 0.0131]",212297718.0
"(0.0131, 0.0132]",214669576.0
"(0.0132, 0.0134]",180252081.0
"(0.0134, 0.0135]",138217996.0
"(0.0135, 0.0136]",207443008.0
"(0.0136, 0.0138]",254642872.0
"(0.0138, 0.0139]",252574211.0
"(0.0139, 0.014]",264755863.0
"(0.014, 0.0141]",481018148.0
"(0.0141, 0.0143]",412157914.0
"(0.0143, 0.0144]",552920693.0
"(0.0144, 0.0145]",323294405.0
"(0.0145, 0.0147]",183353424.0
"(0.0148, 0.0149]",30553594.0
"(0.0149, 0.0151]",78643595.0
"(0.0151, 0.0152]",58028777.0
"(0.0152, 0.0153]",209549064.0
