ts,open,high,low,close,vol,bin
1768694400000,0.1176,0.1177,0.1175,0.1175,48647.0,"(0.118, 0.119]"
1768694460000,0.1176,0.1176,0.1175,0.1175,9059.0,"(0.118, 0.119]"
1768694520000,0.1176,0.1176,0.1174,0.1175,20133.0,"(0.118, 0.119]"
1768694580000,0.1175,0.1176,0.1175,0.1176,14116.0,"(0.118, 0.119]"
1768694640000,0.1176,0.1177,0.1175,0.1176,6158.0,"(0.118, 0.119]"
1768694700000,0.1176,0.1178,0.1176,0.1177,7595.0,"(0.118, 0.119]"
1768694760000,0.1177,0.1178,0.1176,0.1177,50390.0,"(0.118, 0.119]"
1768694820000,0.1178,0.1178,0.1176,0.1176,29800.0,"(0.118, 0.119]"
1768694880000,0.1177,0.118,0.1177,0.118,41198.0,"(0.118, 0.119]"
1768694940000,0.118,0.1182,0.118,0.1182,32921.0,"(0.118, 0.119]"
1768695000000,0.1182,0.1183,0.1182,0.1182,9494.0,"(0.118, 0.119]"
1768695060000,0.1183,0.1183,0.1183,0.1183,98.0,"(0.118, 0.119]"
1768695120000,0.1183,0.1186,0.1183,0.1186,5775.0,"(0.118, 0.119]"
1768695180000,0.1186,0.1186,0.1185,0.1186,10575.0,"(0.118, 0.119]"
1768695240000,0.1186,0.1188,0.1186,0.1186,38209.0,"(0.118, 0.119]"
1768695300000,0.1185,0.1187,0.1185,0.1186,18667.0,"(0.118, 0.119]"
1768695360000,0.1186,0.1189,0.1185,0.1188,44187.0,"(0.118, 0.119]"
1768695420000,0.1187,0.1188,0.1187,0.1188,2615.0,"(0.118, 0.119]"
1768695480000,0.1187,0.1187,0.1186,0.1186,2130.0,"(0.118, 0.119]"
1768695540000,0.1186,0.1187,0.1183,0.1183,103653.0,"(0.118, 0.119]"
1768695600000,0.1183,0.1184,0.1183,0.1183,24200.0,"(0.118, 0.119]"
1768695660000,0.1183,0.1184,0.1182,0.1183,36248.0,"(0.118, 0.119]"
1768695720000,0.1183,0.1183,0.1182,0.1182,1146.0,"(0.118, 0.119]"
1768695780000,0.1181,0.1182,0.1181,0.1182,178.0,"(0.118, 0.119]"
1768695840000,0.1182,0.1182,0.1181,0.1181,4119.0,"(0.118, 0.119]"
1768695900000,0.1181,0.1181,0.1181,0.1181,200.0,"(0.118, 0.119]"
1768695960000,0.1182,0.1182,0.118,0.118,3846.0,"(0.118, 0.119]"
1768696020000,0.1181,0.1181,0.118,0.1181,6885.0,"(0.118, 0.119]"
1768696080000,0.1181,0.1182,0.118,0.1182,10940.0,"(0.118, 0.119]"
1768696140000,0.1181,0.1182,0.118,0.1182,2728.0,"(0.118, 0.119]"
1768696200000,0.1182,0.1182,0.1181,0.1182,33436.0,"(0.118, 0.119]"
1768696260000,0.1183,0.1183,0.1182,0.1182,9878.0,"(0.118, 0.119]"
1768696320000,0.1183,0.1183,0.1181,0.1181,15217.0,"(0.118, 0.119]"
1768696380000,0.1182,0.1182,0.1181,0.1181,473.0,"(0.118, 0.119]"
1768696440000,0.1182,0.1182,0.1181,0.1182,480.0,"(0.118, 0.119]"
1768696500000,0.1182,0.1182,0.1182,0.1182,151.0,"(0.118, 0.119]"
1768696560000,0.1181,0.1182,0.1181,0.1182,2682.0,"(0.118, 0.119]"
1768696620000,0.1182,0.1182,0.118,0.118,6969.0,"(0.118, 0.119]"
1768696680000,0.118,0.118,0.1179,0.1179,1660.0,"(0.118, 0.119]"
1768696740000,0.1179,0.1179,0.1178,0.1179,10270.0,"(0.118, 0.119]"
1768696800000,0.1178,0.1179,0.1171,0.1171,98683.0,"(0.116, 0.118]"
1768696860000,0.1171,0.1172,0.117,0.1171,32702.0,"(0.116, 0.118]"
1768696920000,0.117,0.1172,0.117,0.1172,10827.0,"(0.116, 0.118]"
1768696980000,0.1172,0.1172,0.1171,0.1172,19483.0,"(0.116, 0.118]"
1768697040000,0.1173,0.1173,0.1172,0.1172,7601.0,"(0.116, 0.118]"
1768697100000,0.1171,0.1172,0.117,0.1172,2709.0,"(0.116, 0.118]"
1768697160000,0.1171,0.1171,0.117,0.117,2571.0,"(0.116, 0.118]"
1768697220000,0.117,0.117,0.1169,0.1169,8069.0,"(0.116, 0.118]"
1768697280000,0.1168,0.117,0.1168,0.117,8741.0,"(0.116, 0.118]"
1768697340000,0.117,0.117,0.117,0.117,1127.0,"(0.116, 0.118]"
1768697400000,0.1171,0.1171,0.117,0.117,9827.0,"(0.116, 0.118]"
1768697460000,0.1171,0.1171,0.1168,0.1169,20854.0,"(0.116, 0.118]"
1768697520000,0.1169,0.1169,0.1168,0.1168,3811.0,"(0.116, 0.118]"
1768697580000,0.1167,0.1167,0.1167,0.1167,1974.0,"(0.116, 0.118]"
1768697640000,0.1168,0.1168,0.1165,0.1165,22926.0,"(0.116, 0.118]"
