bin,vol
"(0.0967, 0.0986]",5279084.0
"(0.0986, 0.1]",16606236.0
"(0.1, 0.102]",31124630.0
"(0.102, 0.104]",34397199.0
"(0.104, 0.106]",31058441.0
"(0.106, 0.108]",23116092.0
"(0.108, 0.11]",25521186.0
"(0.11, 0.112]",19202664.0
"(0.112, 0.114]",6331984.0
"(0.114, 0.116]",30543708.0
"(0.116, 0.118]",17178987.0
"(0.118, 0.119]",13282773.0
"(0.119, 0.121]",11247596.0
"(0.121, 0.123]",15516756.0
"(0.123, 0.125]",25364504.0
"(0.125, 0.127]",14229601.0
"(0.127, 0.129]",8630365.0
"(0.129, 0.131]",7084503.0
"(0.131, 0.133]",5977494.0
"(0.133, 0.135]",9394883.0
"(0.135, 0.136]",2720445.0
"(0.136, 0.138]",14031942.0
"(0.138, 0.14]",17828255.0
"(0.14, 0.142]",6598941.0
"(0.142, 0.144]",12294012.0
"(0.144, 0.146]",10315986.0
"(0.146, 0.148]",22161041.0
"(0.148, 0.15]",38699182.0
"(0.15, 0.152]",62155569.0
"(0.152, 0.153]",37688019.0
"(0.153, 0.155]",37267384.0
"(0.155, 0.157]",64886212.0
"(0.157, 0.159]",55659638.0
"(0.159, 0.161]",17775036.0
"(0.161, 0.163]",58504825.0
"(0.163, 0.165]",56214297.0
"(0.165, 0.167]",91656203.0
"(0.167, 0.169]",83733308.0
"(0.169, 0.17]",55111697.0
"(0.17, 0.172]",94650164.0
"(0.172, 0.174]",73645670.0
"(0.174, 0.176]",79599174.0
"(0.176, 0.178]",55784587.0
"(0.178, 0.18]",90258291.0
"(0.18, 0.182]",58391048.0
"(0.182, 0.184]",48101860.0
"(0.184, 0.186]",34328410.0
"(0.186, 0.188]",55334329.0
"(0.188, 0.189]",11112730.0
