ts,open,high,low,close,vol,bin
1767139200000,0.12859,0.12859,0.12816,0.12825,168843.0,"(0.128, 0.13]"
1767139260000,0.1282,0.12824,0.12783,0.12805,162745.0,"(0.127, 0.128]"
1767139320000,0.12805,0.12805,0.12714,0.12737,274093.0,"(0.127, 0.128]"
1767139380000,0.12735,0.12747,0.1271,0.1271,162262.0,"(0.127, 0.128]"
1767139440000,0.1271,0.12714,0.12672,0.12676,278265.0,"(0.127, 0.128]"
1767139500000,0.12676,0.12689,0.12653,0.1267,297311.0,"(0.125, 0.127]"
1767139560000,0.12671,0.12717,0.12671,0.12673,183898.0,"(0.125, 0.127]"
1767139620000,0.12677,0.127,0.12667,0.12686,123602.0,"(0.127, 0.128]"
1767139680000,0.12687,0.12713,0.12654,0.1266,314987.0,"(0.125, 0.127]"
1767139740000,0.12664,0.12681,0.12652,0.12662,113084.0,"(0.125, 0.127]"
1767139800000,0.12663,0.12668,0.12647,0.12655,90106.0,"(0.125, 0.127]"
1767139860000,0.12654,0.12688,0.12626,0.12671,262068.0,"(0.125, 0.127]"
1767139920000,0.12672,0.12685,0.12651,0.12658,170145.0,"(0.125, 0.127]"
1767139980000,0.12659,0.12668,0.12629,0.12663,126629.0,"(0.125, 0.127]"
1767140040000,0.12663,0.12664,0.12522,0.12586,794452.0,"(0.125, 0.127]"
1767140100000,0.12582,0.12613,0.12553,0.12599,398151.0,"(0.125, 0.127]"
1767140160000,0.12601,0.12627,0.12582,0.12587,258105.0,"(0.125, 0.127]"
1767140220000,0.12585,0.12595,0.12568,0.1258,125408.0,"(0.125, 0.127]"
1767140280000,0.12581,0.1259,0.1257,0.12575,129505.0,"(0.125, 0.127]"
1767140340000,0.12575,0.12591,0.12569,0.12585,30064.0,"(0.125, 0.127]"
1767140400000,0.12585,0.12609,0.12583,0.12603,153650.0,"(0.125, 0.127]"
1767140460000,0.12604,0.12608,0.12582,0.12592,143180.0,"(0.125, 0.127]"
1767140520000,0.12591,0.12608,0.12575,0.12608,101247.0,"(0.125, 0.127]"
1767140580000,0.12608,0.12617,0.12585,0.12599,201356.0,"(0.125, 0.127]"
1767140640000,0.126,0.12613,0.12594,0.12607,42290.0,"(0.125, 0.127]"
1767140700000,0.12608,0.12621,0.1259,0.12606,259389.0,"(0.125, 0.127]"
1767140760000,0.12606,0.12621,0.12552,0.12563,250081.0,"(0.125, 0.127]"
1767140820000,0.12563,0.12602,0.12541,0.12581,274926.0,"(0.125, 0.127]"
1767140880000,0.12581,0.12584,0.12566,0.12567,69211.0,"(0.125, 0.127]"
1767140940000,0.12569,0.12587,0.12562,0.12577,70065.0,"(0.125, 0.127]"
1767141000000,0.12578,0.12578,0.12524,0.12528,255097.0,"(0.125, 0.127]"
1767141060000,0.12529,0.12575,0.12529,0.12575,195405.0,"(0.125, 0.127]"
1767141120000,0.12575,0.12638,0.12514,0.12572,1297425.0,"(0.125, 0.127]"
1767141180000,0.12572,0.12573,0.12494,0.12505,517127.0,"(0.125, 0.127]"
1767141240000,0.12504,0.12541,0.12474,0.12533,419733.0,"(0.124, 0.125]"
1767141300000,0.12534,0.1255,0.12513,0.12522,211660.0,"(0.125, 0.127]"
1767141360000,0.12523,0.12541,0.12517,0.12524,122863.0,"(0.125, 0.127]"
1767141420000,0.12523,0.12549,0.12513,0.12549,58002.0,"(0.125, 0.127]"
1767141480000,0.12548,0.12571,0.12509,0.12557,284375.0,"(0.125, 0.127]"
1767141540000,0.12558,0.12574,0.12543,0.12555,120878.0,"(0.125, 0.127]"
1767141600000,0.12553,0.12573,0.12541,0.12573,43750.0,"(0.125, 0.127]"
1767141660000,0.12573,0.12584,0.12565,0.12582,51241.0,"(0.125, 0.127]"
