bin,vol
"(0.114, 0.116]",7884759.0
"(0.116, 0.118]",16759697.0
"(0.118, 0.119]",15030586.0
"(0.119, 0.121]",9646006.0
"(0.121, 0.122]",47974893.0
"(0.122, 0.124]",107852561.0
"(0.124, 0.125]",200859424.0
"(0.125, 0.127]",120303775.0
"(0.127, 0.128]",88481326.0
"(0.128, 0.13]",169905761.0
"(0.13, 0.131]",84522713.0
"(0.131, 0.133]",80343656.0
"(0.133, 0.134]",45928988.0
"(0.134, 0.136]",54543498.0
"(0.136, 0.138]",40056373.0
"(0.138, 0.139]",41088585.0
"(0.139, 0.141]",54825486.0
"(0.141, 0.142]",61281220.0
"(0.142, 0.144]",74692901.0
"(0.144, 0.145]",66642926.0
"(0.145, 0.147]",61551340.0
"(0.147, 0.148]",57793827.0
"(0.148, 0.15]",10043119.0
"(0.15, 0.151]",33990882.0
"(0.151, 0.153]",34567083.0
"(0.153, 0.154]",49437817.0
"(0.154, 0.156]",65000436.0
"(0.156, 0.158]",137751667.0
"(0.158, 0.159]",117289458.0
"(0.159, 0.161]",123006471.0
"(0.161, 0.162]",127987521.0
"(0.162, 0.164]",120202832.0
"(0.164, 0.165]",93181925.0
"(0.165, 0.167]",106834209.0
"(0.167, 0.168]",91077218.0
"(0.168, 0.17]",141874397.0
"(0.17, 0.171]",10435486.0
"(0.171, 0.173]",70643232.0
"(0.173, 0.175]",5771889.0
"(0.175, 0.176]",17033862.0
"(0.178, 0.179]",49588499.0
"(0.179, 0.181]",54657282.0
"(0.181, 0.182]",103753011.0
"(0.182, 0.184]",216086975.0
"(0.184, 0.185]",108612121.0
"(0.185, 0.187]",77675893.0
"(0.187, 0.188]",46796957.0
