exchange          symbol     gain_x  bottom_price   peak_price bottom_date  peak_date  days_to_peak
    mexc        XGZ/USDT 260.033857  7.000000e+01 1.820237e+04  2025-12-17 2026-01-25            39
    mexc       COAI/USDT 250.043900  1.959000e-01 4.898360e+01  2025-10-01 2025-10-12            11
    mexc       SBTC/USDT 197.498730  2.600000e+04 5.134967e+06  2025-11-24 2025-12-08            14
    mexc        JSK/USDT 190.000000  1.000000e-03 1.900000e-01  2025-12-18 2026-01-14            27
    mexc       FAVE/USDT 145.846154  5.200000e-04 7.584000e-02  2025-10-12 2025-11-04            23
    mexc        TBK/USDT 120.000000  2.500000e-02 3.000000e+00  2025-12-24 2026-01-04            11
 binance  COAI/USDT:USDT 102.619218  1.958600e-01 2.009900e+01  2025-10-01 2025-10-16            15
    mexc  COAI/USDT:USDT 102.175841  1.962000e-01 2.004690e+01  2025-10-01 2025-10-16            15
    mexc       BEAT/USDT  99.400000  5.000000e-02 4.970000e+00  2025-11-01 2025-12-22            51
 binance SIREN/USDT:USDT  93.610625  5.139000e-02 4.810650e+00  2026-02-07 2026-03-22            43
    mexc SIREN/USDT:USDT  92.233010  5.150000e-02 4.750000e+00  2026-02-07 2026-03-22            43
    mexc     CSIGMA/USDT  85.100000  3.000000e-03 2.553000e-01  2025-10-31 2025-11-20            20
    mexc      TCAPY/USDT  82.848837  3.440000e-06 2.850000e-04  2025-10-05 2025-10-22            17
    mexc       SPLD/USDT  76.628352  1.305000e-01 1.000000e+01  2025-11-29 2026-02-06            69
    mexc     URANUS/USDT  75.883578  8.160000e-03 6.192100e-01  2025-10-10 2025-10-28            18
 binance   BAS/USDT:USDT  68.290735  2.504000e-03 1.710000e-01  2025-10-02 2025-10-17            15
    mexc  SACHICOIN/USDT  68.150685  1.460000e-04 9.950000e-03  2025-11-16 2025-11-23             7
    mexc        BAS/USDT  67.478985  2.522000e-03 1.701820e-01  2025-10-02 2025-10-17            15
    mexc AVICI/USDT:USDT  67.337398  4.920000e-01 3.313000e+01  2025-11-14 2025-11-24            10
    mexc   BAS/USDT:USDT  67.187869  2.539000e-03 1.705900e-01  2025-10-02 2025-10-17            15
    mexc  BEAT/USDT:USDT  65.830161  6.830000e-02 4.496200e+00  2025-11-01 2025-12-22            51
    mexc      我踏马来了/USDT  65.135000  1.000000e-03 6.513500e-02  2026-01-07 2026-02-01            25
    mexc       BDXN/USDT  62.264939  2.393000e-03 1.490000e-01  2025-10-10 2025-11-14            35
    mexc        SDR/USDT  59.076923  1.300000e-07 7.680000e-06  2025-11-10 2026-01-16            67
    mexc      RIVER/USDT  55.069789  1.612000e+00 8.877250e+01  2025-12-17 2026-01-26            40
    mexc      VEREM/USDT  54.883081  7.270000e+00 3.990000e+02  2025-12-30 2026-01-22            23
    mexc      FOLKS/USDT  54.513352  9.062000e-01 4.940000e+01  2025-11-06 2025-12-14            38
    mexc       SOON/USDT  53.283636  1.100000e-01 5.861200e+00  2025-10-01 2025-11-14            44
 binance RIVER/USDT:USDT  53.217822  1.616000e+00 8.600000e+01  2025-12-17 2026-01-26            40
    mexc      POWER/USDT  53.186000  5.000000e-02 2.659300e+00  2025-12-05 2026-03-02            87
